,financing_date,turn,announce,company_name
0,2018-04-02,并购,95亿美元,上海拉扎斯信息科技有限公司
1,2017-04-01,战略投资,4亿美元,上海拉扎斯信息科技有限公司
2,2016-04-13,战略投资,12.5亿美元,上海拉扎斯信息科技有限公司
3,2015-11-13,战略投资,未公开,上海拉扎斯信息科技有限公司
4,2015-08-27,F轮,6.3亿美元,上海拉扎斯信息科技有限公司
5,2015-01-23,E轮,3.5亿美元,上海拉扎斯信息科技有限公司
6,2014-05-01,D轮,8000万美元,上海拉扎斯信息科技有限公司
7,2013-11-01,C轮,2500万美元,上海拉扎斯信息科技有限公司
8,2013-01-01,B轮,数百万美元,上海拉扎斯信息科技有限公司
9,2011-03-01,A轮,数百万美元,上海拉扎斯信息科技有限公司
0,2019-05-16,IPO,2.42亿人民币,中简科技股份有限公司
0,2020-09-08,IPO,81.49亿港元,农夫山泉股份有限公司
0,2020-09-08,私有化,87亿美元,北京五八信息技术有限公司
1,2014-10-03,战略投资,2300万美元,北京五八信息技术有限公司
2,2014-09-28,战略投资,1亿美元,北京五八信息技术有限公司
3,2014-06-01,战略投资,7.36亿美元,北京五八信息技术有限公司
4,2013-10-31,IPO,1.87亿美元,北京五八信息技术有限公司
5,2011-12-01,E轮,5500万美元,北京五八信息技术有限公司
6,2010-12-01,D轮,6000万美元,北京五八信息技术有限公司
7,2010-04-01,C轮,1500万美元,北京五八信息技术有限公司
8,2008-06-01,B轮,4000万美元,北京五八信息技术有限公司
9,2006-02-01,A轮,500万美元,北京五八信息技术有限公司
0,2018-09-05,Pre-F,数亿美元,北京拜克洛克科技有限公司
1,2018-03-13,E+轮,8.66亿美元,北京拜克洛克科技有限公司
2,2017-07-06,E轮,超7亿美元,北京拜克洛克科技有限公司
3,2017-04-22,战略投资,数亿美元,北京拜克洛克科技有限公司
4,2017-03-01,D轮,4.5亿美元,北京拜克洛克科技有限公司
5,2016-10-10,C轮,1.3亿美元,北京拜克洛克科技有限公司
6,2016-09-02,B轮,千万美元,北京拜克洛克科技有限公司
7,2016-04-01,A+轮,1000万人民币,北京拜克洛克科技有限公司
8,2016-02-08,A轮,1500万人民币,北京拜克洛克科技有限公司
9,2015-10-30,Pre-A,900万人民币,北京拜克洛克科技有限公司
10,2014-12-01,天使轮,150万人民币,北京拜克洛克科技有限公司
0,2015-05-06,C轮,1亿美元,北京畅行信息技术有限公司
1,2015-01-01,B轮,2000万美元,北京畅行信息技术有限公司
2,2014-11-19,A轮,1000万美元,北京畅行信息技术有限公司
0,2019-03-31,定向增发,658.89万人民币,北京石头世纪科技股份有限公司
1,2017-09-01,股权转让,341.665万美元,北京石头世纪科技股份有限公司
2,2016-04-08,B轮,1.627亿人民币,北京石头世纪科技股份有限公司
3,2016-02-04,股权转让,5258.54万元,北京石头世纪科技股份有限公司
4,2015-09-07,股权转让,4.636万人民币,北京石头世纪科技股份有限公司
5,2015-03-04,定向增发,10.9万人民币,北京石头世纪科技股份有限公司
0,2018-10-20,Pre-IPO,40亿美元,字节跳动有限公司
1,2018-08-16,战略投资,未公开,字节跳动有限公司
2,2017-08-01,E轮,20亿美元,字节跳动有限公司
3,2016-12-30,D轮,10亿美元,字节跳动有限公司
4,2014-06-01,C轮,1亿美元,字节跳动有限公司
5,2013-09-01,B轮,1000万美元,字节跳动有限公司
6,2012-07-01,A轮,100万美元,字节跳动有限公司
7,2012-03-09,天使轮,数百万人民币,字节跳动有限公司
0,2020-07-20,上市公司定增,196.18亿人民币,宁德时代新能源科技股份有限公司
1,2018-06-11,IPO,54.62亿人民币,宁德时代新能源科技股份有限公司
2,2017-06-11,战略投资,10亿人民币,宁德时代新能源科技股份有限公司
3,2017-06-11,战略投资,3.4亿人民币,宁德时代新能源科技股份有限公司
4,2017-04-30,B轮,亿级人民币,宁德时代新能源科技股份有限公司
5,2016-01-16,A轮,数千万人民币,宁德时代新能源科技股份有限公司
0,2019-07-22,IPO,11.98亿人民币,宁波容百新能源科技股份有限公司
1,2018-01-01,C轮,13.9亿人民币,宁波容百新能源科技股份有限公司
2,2017-07-26,B轮,10亿人民币,宁波容百新能源科技股份有限公司
0,2020-08-11,上市公司定增,8.1亿美元,广州虎牙信息科技有限公司
1,2018-05-11,IPO,1.8亿美元,广州虎牙信息科技有限公司
2,2018-03-09,B轮,4.6亿美元,广州虎牙信息科技有限公司
3,2017-05-17,A轮,7500万美元,广州虎牙信息科技有限公司
4,2005-04-01,天使轮,100万美元,广州虎牙信息科技有限公司
0,2020-08-28,IPO,14.31亿人民币,江苏中信博新能源科技股份有限公司
1,2017-11-28,战略投资,6399.99万元人民币,江苏中信博新能源科技股份有限公司
2,2017-06-30,战略投资,11475万元人民币,江苏中信博新能源科技股份有限公司
0,2020-09-17,IPO,37.15亿人民币,稳健医疗用品股份有限公司
1,2018-05-28,战略投资,3亿元人民币,稳健医疗用品股份有限公司
2,2014-11-06,天使轮,数百万人民币,稳健医疗用品股份有限公司
0,2010-01-04,并购,2.75亿人民币,紫光国芯微电子股份有限公司
1,2005-06-06,IPO,1.2亿人民币,紫光国芯微电子股份有限公司
0,2019-03-06,上市公司定增,25亿人民币,舍得酒业股份有限公司
1,1996-05-24,IPO,1.6亿人民币,舍得酒业股份有限公司
